Name,Structure,DataType,Shape,Size
imageTimeStamp,Dataset,int64,"(1,)",1.0
intensityAvg,Dataset,float64,"(1,)",1.0
intensityHistogram,Dataset,int32,"(1000,)",1000.0
intensityRMS,Dataset,float64,"(1,)",1.0
intensitySigma,Dataset,float64,"(1,)",1.0
pixelSize,Dataset,float64,"(1,)",1.0
verProjAmp,Dataset,float64,"(1,)",1.0
verProjAvg,Dataset,float64,"(1,)",1.0
verProjSigma,Dataset,float64,"(1,)",1.0
verProjection,Dataset,float64,"(1200,)",1200.0
width,Dataset,int32,"(1,)",1.0
PublishedSettings,Group,,,
delayTime,Dataset,float64,"(1,)",1.0
exposureTime,Dataset,float64,"(1,)",1.0
gain,Dataset,int64,"(1,)",1.0
triggerMode,Dataset,|S2,"(1,)",1.0
BOVWA.07TCC4.AWAKECAM07,Group,,,
ExtractionImage,Group,,,
beamIntensity,Dataset,float64,"(1,)",1.0
beamSize,Dataset,float64,"(1,)",1.0
cogX,Dataset,float64,"(1,)",1.0
cogY,Dataset,float64,"(1,)",1.0
height,Dataset,int32,"(1,)",1.0
horProjAmp,Dataset,float64,"(1,)",1.0
horProjAvg,Dataset,float64,"(1,)",1.0
horProjSigma,Dataset,float64,"(1,)",1.0
horProjection,Dataset,float64,"(1600,)",1600.0
imageRawData,Dataset,int16,"(1200, 1600)",1920000.0
imageTimeStamp,Dataset,int64,"(1,)",1.0
intensityAvg,Dataset,float64,"(1,)",1.0
intensityHistogram,Dataset,int32,"(1000,)",1000.0
intensityRMS,Dataset,float64,"(1,)",1.0
intensitySigma,Dataset,float64,"(1,)",1.0
pixelSize,Dataset,float64,"(1,)",1.0
verProjAmp,Dataset,float64,"(1,)",1.0
verProjAvg,Dataset,float64,"(1,)",1.0
verProjSigma,Dataset,float64,"(1,)",1.0
verProjection,Dataset,float64,"(1200,)",1200.0
width,Dataset,int32,"(1,)",1.0
PublishedSettings,Group,,,
delayTime,Dataset,float64,"(1,)",1.0
exposureTime,Dataset,float64,"(1,)",1.0
gain,Dataset,int64,"(1,)",1.0
triggerMode,Dataset,|S2,"(1,)",1.0
BOVWA.11TCC4.AWAKECAM11,Group,,,
ExtractionImage,Group,,,
beamIntensity,Dataset,float64,"(1,)",1.0
beamSize,Dataset,float64,"(1,)",1.0
cogX,Dataset,float64,"(1,)",1.0
cogY,Dataset,float64,"(1,)",1.0
height,Dataset,int32,"(1,)",1.0
horProjAmp,Dataset,float64,"(1,)",1.0
horProjAvg,Dataset,float64,"(1,)",1.0
horProjSigma,Dataset,float64,"(1,)",1.0
horProjection,Dataset,float64,"(1280,)",1280.0
imageRawData,Dataset,int16,"(960, 1280)",1228800.0
imageTimeStamp,Dataset,int64,"(1,)",1.0
intensityAvg,Dataset,float64,"(1,)",1.0
intensityHistogram,Dataset,int32,"(1000,)",1000.0
intensityRMS,Dataset,float64,"(1,)",1.0
intensitySigma,Dataset,float64,"(1,)",1.0
pixelSize,Dataset,float64,"(1,)",1.0
verProjAmp,Dataset,float64,"(1,)",1.0
verProjAvg,Dataset,float64,"(1,)",1.0
verProjSigma,Dataset,float64,"(1,)",1.0
verProjection,Dataset,float64,"(960,)",960.0
width,Dataset,int32,"(1,)",1.0
PublishedSettings,Group,,,
delayTime,Dataset,float64,"(1,)",1.0
exposureTime,Dataset,float64,"(1,)",1.0
gain,Dataset,int64,"(1,)",1.0
triggerMode,Dataset,|S2,"(1,)",1.0
BPM.AWAKE.TT41,Group,,,
Acquisition,Group,,,
bpmNames,Dataset,|S15,"(32,)",32.0
dynDestination,Dataset,|S5,"(1,)",1.0
horPosOk,Dataset,Unknown Type,"(0,)",0.0
horPosition,Dataset,float32,"(32,)",32.0
nbOfBpms,Dataset,int16,"(1,)",1.0
verPosOk,Dataset,Unknown Type,"(0,)",0.0
verPosition,Dataset,float32,"(32,)",32.0
BTV.TT41.412354_FILTER,Group,,,
Acquisition,Group,,,
position,Dataset,int32,"(1,)",1.0
BTV.TT41.412426_FWHEEL,Group,,,
Acquisition,Group,,,
position,Dataset,int32,"(1,)",1.0
BTV.TT41.412426_MASK_H,Group,,,
Acquisition,Group,,,
position,Dataset,int32,"(1,)",1.0
BTV.TT41.412426_MASK_V,Group,,,
Acquisition,Group,,,
position,Dataset,int32,"(1,)",1.0
BTV.TT41.412442_FWHEEL,Group,,,
Acquisition,Group,,,
position,Dataset,int32,"(1,)",1.0
BTV.TT41.412442_MASK_H,Group,,,
Acquisition,Group,,,
position,Dataset,int32,"(1,)",1.0
BTV.TT41.412442_MASK_V,Group,,,
Acquisition,Group,,,
position,Dataset,int32,"(1,)",1.0
EMETER02,Group,,,
Acq,Group,,,
outOfRange,Dataset,bool,(),1.0
value,Dataset,float32,"(1,)",1.0
value_units,Dataset,|S1,"(1,)",1.0
EMETER03,Group,,,
Acq,Group,,,
outOfRange,Dataset,bool,(),1.0
value,Dataset,float32,"(1,)",1.0
value_units,Dataset,|S1,"(1,)",1.0
EMETER04,Group,,,
Acq,Group,,,
outOfRange,Dataset,bool,(),1.0
value,Dataset,float32,"(1,)",1.0
value_units,Dataset,|S1,"(1,)",1.0
EMETER05,Group,,,
Acq,Group,,,
outOfRange,Dataset,bool,(),1.0
value,Dataset,float32,"(1,)",1.0
value_units,Dataset,|S1,"(1,)",1.0
FWHEEL01,Group,,,
Acq,Group,,,
backWheelPositionDescription,Dataset,|S6,"(1,)",1.0
frontWheelPositionDescription,Dataset,|S6,"(1,)",1.0
status,Dataset,int32,"(1,)",1.0
GD_BPM.AWAKE.TRIUMF,Group,,,
AcquisitionSPS,Group,,,
bpmNames,Dataset,|S18,"(14,)",14.0
horPos,Dataset,float32,"(14,)",14.0
nbOfBpms,Dataset,int32,"(1,)",1.0
posOK,Dataset,Unknown Type,"(1,)",1.0
sigma,Dataset,int32,"(14,)",14.0
verPos,Dataset,float32,"(14,)",14.0
GlobalAcquisition,Group,,,
bpmNames,Dataset,|S18,"(14,)",14.0
horPos,Dataset,float32,"(14,)",14.0
horPosSelected,Dataset,float32,"(14,)",14.0
nbOfBpms,Dataset,int32,"(1,)",1.0
posOK,Dataset,Unknown Type,"(1,)",1.0
posOkSelected,Dataset,Unknown Type,"(0,)",0.0
sigma,Dataset,float32,"(14,)",14.0
sigmaSelected,Dataset,int32,"(14,)",14.0
verPos,Dataset,float32,"(14,)",14.0
verPosSelected,Dataset,float32,"(14,)",14.0
LSSE2,Group,,,
Acq,Group,,,
position,Dataset,int32,"(1,)",1.0
LSSP2,Group,,,
Acq,Group,,,
position,Dataset,int32,"(1,)",1.0
MPP-TSG41-MIRROR1-H,Group,,,
Acquisition,Group,,,
position,Dataset,int32,"(1,)",1.0
MPP-TSG41-MIRROR1-V,Group,,,
Acquisition,Group,,,
position,Dataset,int32,"(1,)",1.0
MPP-TSG41-WHEEL1-BI,Group,,,
Acquisition,Group,,,
position,Dataset,int32,"(1,)",1.0
MPP-VACTRANS-CTR,Group,,,
Acquisition,Group,,,
mmPosition,Dataset,float64,"(1,)",1.0
position,Dataset,int32,"(1,)",1.0
stepperBusy,Dataset,bool,(),1.0
switchIn,Dataset,bool,(),1.0
switchOut,Dataset,bool,(),1.0
MPP-VACTRANS-OTR,Group,,,
Acquisition,Group,,,
mmPosition,Dataset,float64,"(1,)",1.0
position,Dataset,int32,"(1,)",1.0
stepperBusy,Dataset,bool,(),1.0
switchIn,Dataset,bool,(),1.0
switchOut,Dataset,bool,(),1.0
MPPAWAKE-STANDA-08.AXIS01,Group,,,
Movement,Group,,,
leftLimitSwitchReached,Dataset,|S128,(),1.0
position,Dataset,|S128,(),1.0
rightLimitSwitchReached,Dataset,|S128,(),1.0
MPPAWAKE-STANDA-08.AXIS02,Group,,,
Movement,Group,,,
leftLimitSwitchReached,Dataset,|S128,(),1.0
position,Dataset,|S128,(),1.0
rightLimitSwitchReached,Dataset,|S128,(),1.0
MPPAWAKE-STANDA-08.AXIS03,Group,,,
Movement,Group,,,
leftLimitSwitchReached,Dataset,|S128,(),1.0
position,Dataset,|S128,(),1.0
rightLimitSwitchReached,Dataset,|S128,(),1.0
MPPAWAKE-STANDA-08.AXIS04,Group,,,
Movement,Group,,,
leftLimitSwitchReached,Dataset,|S128,(),1.0
position,Dataset,|S128,(),1.0
rightLimitSwitchReached,Dataset,|S128,(),1.0
MPPAWAKE-STANDA-08.AXIS09,Group,,,
Movement,Group,,,
leftLimitSwitchReached,Dataset,|S128,(),1.0
position,Dataset,|S128,(),1.0
rightLimitSwitchReached,Dataset,|S128,(),1.0
MPPAWAKE-STANDA-08.AXIS10,Group,,,
Movement,Group,,,
leftLimitSwitchReached,Dataset,|S128,(),1.0
position,Dataset,|S128,(),1.0
rightLimitSwitchReached,Dataset,|S128,(),1.0
MPPAWAKE-STANDA-08.AXIS11,Group,,,
Movement,Group,,,
leftLimitSwitchReached,Dataset,|S128,(),1.0
position,Dataset,|S128,(),1.0
rightLimitSwitchReached,Dataset,|S128,(),1.0
MPPAWAKE-STANDA-08.AXIS12,Group,,,
Movement,Group,,,
leftLimitSwitchReached,Dataset,|S128,(),1.0
position,Dataset,|S128,(),1.0
rightLimitSwitchReached,Dataset,|S128,(),1.0
MPPAWAKE-STANDA-12.AXIS01,Group,,,
Movement,Group,,,
leftLimitSwitchReached,Dataset,|S128,(),1.0
position,Dataset,|S128,(),1.0
rightLimitSwitchReached,Dataset,|S128,(),1.0
MPPAWAKE-STANDA-12.AXIS02,Group,,,
Movement,Group,,,
leftLimitSwitchReached,Dataset,|S128,(),1.0
position,Dataset,|S128,(),1.0
rightLimitSwitchReached,Dataset,|S128,(),1.0
MPPAWAKE-STANDA-12.AXIS03,Group,,,
Movement,Group,,,
leftLimitSwitchReached,Dataset,|S128,(),1.0
position,Dataset,|S128,(),1.0
rightLimitSwitchReached,Dataset,|S128,(),1.0
MPPAWAKE-STANDA-12.AXIS04,Group,,,
Movement,Group,,,
leftLimitSwitchReached,Dataset,|S128,(),1.0
position,Dataset,|S128,(),1.0
rightLimitSwitchReached,Dataset,|S128,(),1.0
MPPAWAKE-STANDA-12.AXIS05,Group,,,
Movement,Group,,,
leftLimitSwitchReached,Dataset,|S128,(),1.0
position,Dataset,|S128,(),1.0
rightLimitSwitchReached,Dataset,|S128,(),1.0
MPPAWAKE-STANDA-12.AXIS06,Group,,,
Movement,Group,,,
leftLimitSwitchReached,Dataset,|S128,(),1.0
position,Dataset,|S128,(),1.0
rightLimitSwitchReached,Dataset,|S128,(),1.0
MPPAWAKE-STANDA-12.AXIS07,Group,,,
Movement,Group,,,
leftLimitSwitchReached,Dataset,|S128,(),1.0
position,Dataset,|S128,(),1.0
rightLimitSwitchReached,Dataset,|S128,(),1.0
MPPAWAKE-STANDA-12.AXIS08,Group,,,
Movement,Group,,,
leftLimitSwitchReached,Dataset,|S128,(),1.0
position,Dataset,|S128,(),1.0
rightLimitSwitchReached,Dataset,|S128,(),1.0
MPPAWAKE-STANDA-12.AXIS09,Group,,,
Movement,Group,,,
leftLimitSwitchReached,Dataset,|S128,(),1.0
position,Dataset,|S128,(),1.0
rightLimitSwitchReached,Dataset,|S128,(),1.0
MPPAWAKE-STANDA-12.AXIS10,Group,,,
Movement,Group,,,
leftLimitSwitchReached,Dataset,|S128,(),1.0
position,Dataset,|S128,(),1.0
rightLimitSwitchReached,Dataset,|S128,(),1.0
MPPAWAKE-STANDA-12.AXIS11,Group,,,
Movement,Group,,,
leftLimitSwitchReached,Dataset,|S128,(),1.0
position,Dataset,|S128,(),1.0
rightLimitSwitchReached,Dataset,|S128,(),1.0
MPPAWAKE-STANDA-12.AXIS12,Group,,,
Movement,Group,,,
leftLimitSwitchReached,Dataset,|S128,(),1.0
position,Dataset,|S128,(),1.0
rightLimitSwitchReached,Dataset,|S128,(),1.0
PMOTOR01,Group,,,
Acquisition,Group,,,
position,Dataset,int32,"(1,)",1.0
PMOTOR02,Group,,,
Acquisition,Group,,,
position,Dataset,int32,"(1,)",1.0
PMOTOR03,Group,,,
Acquisition,Group,,,
position,Dataset,int32,"(1,)",1.0
PMOTOR04,Group,,,
Acquisition,Group,,,
position,Dataset,int32,"(1,)",1.0
PMOTOR05,Group,,,
Acquisition,Group,,,
position,Dataset,int32,"(1,)",1.0
PMOTOR06,Group,,,
Acquisition,Group,,,
position,Dataset,int32,"(1,)",1.0
PMOTOR13,Group,,,
Acquisition,Group,,,
position,Dataset,int32,"(1,)",1.0
PMOTOR14,Group,,,
Acquisition,Group,,,
position,Dataset,int32,"(1,)",1.0
PMOTOR15,Group,,,
Acquisition,Group,,,
position,Dataset,int32,"(1,)",1.0
PMOTOR16,Group,,,
Acquisition,Group,,,
position,Dataset,int32,"(1,)",1.0
Plunger.412401,Group,,,
StartCounterSt,Group,,,
value,Dataset,int32,"(1,)",1.0
State,Group,,,
value,Dataset,int16,"(1,)",1.0
Plunger.412422,Group,,,
StartCounterSt,Group,,,
value,Dataset,int32,"(1,)",1.0
State,Group,,,
value,Dataset,int16,"(1,)",1.0
RADMON.AWAKE-1,Group,,,
Acquisition,Group,,,
SEUType1,Dataset,float64,"(1,)",1.0
SEUType2,Dataset,float64,"(1,)",1.0
cumBank1HadronFluence,Dataset,float64,"(1,)",1.0
cumBank1MBUCounts,Dataset,int32,"(1,)",1.0
cumBank1SEUCounts,Dataset,int32,"(1,)",1.0
cumBank2HadronFluence,Dataset,float64,"(1,)",1.0
cumBank2MBUCounts,Dataset,int32,"(1,)",1.0
cumBank2SEUCounts,Dataset,int32,"(1,)",1.0
cumNeutronFluence,Dataset,float64,"(1,)",1.0
cumTID1,Dataset,float64,"(1,)",1.0
cumTID2,Dataset,float64,"(1,)",1.0
lPar1,Dataset,float64,"(1,)",1.0
lPar2,Dataset,float64,"(1,)",1.0
lPar3,Dataset,float64,"(1,)",1.0
lParType,Dataset,float64,"(1,)",1.0
pinDiodeType,Dataset,int32,"(1,)",1.0
radfet1Type,Dataset,int32,"(1,)",1.0
radfet2Type,Dataset,int32,"(1,)",1.0
radmonStatus,Dataset,int32,"(1,)",1.0
revisionNumber,Dataset,int32,"(1,)",1.0
revisionType,Dataset,int32,"(1,)",1.0
RADMON.AWAKE-2,Group,,,
Acquisition,Group,,,
SEUType1,Dataset,float64,"(1,)",1.0
SEUType2,Dataset,float64,"(1,)",1.0
cumBank1HadronFluence,Dataset,float64,"(1,)",1.0
cumBank1MBUCounts,Dataset,int32,"(1,)",1.0
cumBank1SEUCounts,Dataset,int32,"(1,)",1.0
cumBank2HadronFluence,Dataset,float64,"(1,)",1.0
cumBank2MBUCounts,Dataset,int32,"(1,)",1.0
cumBank2SEUCounts,Dataset,int32,"(1,)",1.0
cumNeutronFluence,Dataset,float64,"(1,)",1.0
cumTID1,Dataset,float64,"(1,)",1.0
cumTID2,Dataset,float64,"(1,)",1.0
lPar1,Dataset,float64,"(1,)",1.0
lPar2,Dataset,float64,"(1,)",1.0
lPar3,Dataset,float64,"(1,)",1.0
lParType,Dataset,float64,"(1,)",1.0
pinDiodeType,Dataset,int32,"(1,)",1.0
radfet1Type,Dataset,int32,"(1,)",1.0
radfet2Type,Dataset,int32,"(1,)",1.0
radmonStatus,Dataset,int32,"(1,)",1.0
revisionNumber,Dataset,int32,"(1,)",1.0
revisionType,Dataset,int32,"(1,)",1.0
